date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2022-01-01 00:58:33 57.222.145.109 GET smhirsxw.css - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 23
2022-01-01 00:58:33 57.222.145.109 GET llipgydg.css - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 21
2022-01-01 00:58:33 57.222.145.109 GET footer.css - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 26
2022-01-01 00:58:33 57.222.145.109 GET index.aspx - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 301 0 0 21
2022-01-01 00:58:49 57.222.145.109 GET fbuizasq.css - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 20
2022-01-01 00:58:49 57.222.145.109 GET favico.ico - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 26
2022-01-01 00:58:49 57.222.145.109 GET kcpmccdp.css - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 404 0 0 23
2022-01-01 00:58:49 57.222.145.109 GET login.aspx - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 22
2022-01-01 00:59:15 57.222.145.109 GET gfhmdzfx.css - 443 ss749635 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/login.aspx 200 0 0 26
2022-01-01 00:59:15 57.222.145.109 POST login.aspx - 443 ss749635 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/login.aspx 301 0 0 20
